Name,Sequence Cluster,Serotype
ERS070024,9,23A
ERS070032,9,23A
ERS070037,9,23A
ERS070096,9,23A
ERS070178,9,23A
ERS043870,9,23A
ERS043871,9,23A
ERS043875,9,23A
ERS043877,9,23A
ERS043886,9,23A
ERS043941,9,23A
ERS043979,9,23A
ERS043982,9,23A
ERS044108,9,23B
ERS069920,9,23B
ERS069943,9,23B
ERS069991,9,23B
ERS069998,9,23B
ERS070013,9,23B
ERS070038,9,23B
ERS070046,9,23B
ERS070052,9,23B
ERS070062,9,23B
ERS070083,9,23B
ERS070099,9,23B
ERS070110,9,23B
ERS070129,9,23B
ERS070136,9,23B
ERS043840,9,23B
ERS043841,9,23B
ERS043843,9,23B
ERS043929,9,23B
ERS043973,9,23B
ERS044000,9,23B
ERS044042,9,23F
ERS044049,9,23F
ERS044083,9,23F
ERS044096,9,23F
ERS044106,9,23F
ERS044136,9,23F
ERS044152,9,23F
ERS044163,9,23F
ERS043834,9,23F
ERS043850,9,23F
ERS043895,9,23F
ERS043986,9,23F
ERS044063,10,6C
ERS044072,10,6C
ERS044117,10,6C
ERS069930,10,6C
ERS069939,10,6C
ERS070002,10,6C
ERS070036,10,6C
ERS070043,10,6C
ERS070060,10,6C
ERS070094,10,6C
ERS070108,10,6C
ERS070123,10,6C
ERS070144,10,6C
ERS070145,10,6C
ERS070155,10,6C
ERS070157,10,6C
ERS070196,10,6C
ERS070201,10,6C
ERS070208,10,6C
ERS043862,10,6C
ERS043880,10,6C
ERS043891,10,6C
ERS043908,10,6C
ERS043911,10,6C
ERS043939,10,6C
ERS043873,10,NT
ERS044039,11,35B
ERS044055,11,35B
ERS044140,11,35B
ERS069926,11,35B
ERS069965,11,35B
ERS069977,11,35B
ERS069978,11,35B
ERS069980,11,35B
ERS069990,11,35B
ERS069995,11,35B
ERS070010,11,35B
ERS070025,11,35B
ERS070034,11,35B
ERS070039,11,35B
ERS070054,11,35B
ERS070064,11,35B
ERS070070,11,35B
ERS070091,11,35B
ERS070127,11,35B
ERS070132,11,35B
ERS070141,11,35B
ERS070164,11,35B
ERS070166,11,35B
ERS070168,11,35B
ERS070170,11,35B
ERS070181,11,35B
ERS070184,11,35B
ERS070190,11,35B
ERS070192,11,35B
ERS070207,11,35B
ERS043846,11,35B
ERS043864,11,35B
ERS043888,11,35B
ERS043893,11,35B
ERS043902,11,35B
ERS043906,11,35B
ERS043916,11,35B
ERS043933,11,35B
ERS043943,11,35B
ERS043947,11,35B
ERS043968,11,35B
ERS043969,11,35B
ERS043976,11,35B
ERS044009,11,35B
ERS044032,11,35B
ERS044034,11,35B
ERS044109,12,NT
ERS044147,12,NT
ERS044162,12,NT
ERS044171,12,NT
ERS070021,12,NT
ERS070169,12,NT
ERS043836,12,NT
ERS043853,12,NT
ERS043860,12,NT
ERS043907,12,NT
ERS044040,13,6A
ERS044047,13,6A
ERS044065,13,6A
ERS044090,13,6A
ERS044094,13,6A
ERS044133,13,6A
ERS044150,13,6A
ERS069983,13,6A
ERS043848,13,6A
ERS043915,13,6A
ERS043918,13,6A
ERS043957,13,6A
ERS043985,13,6A
ERS044015,13,6A
ERS044016,13,6A
ERS043919,13,6B
ERS069918,13,6C
ERS070006,13,6C
ERS070114,13,6C
ERS044050,14,6A
ERS044053,14,6A
ERS044069,14,6A
ERS044093,14,6A
ERS044131,14,6A
ERS044160,14,6A
ERS070019,14,6A
ERS070194,14,6A
ERS070205,14,6A
ERS043972,14,6A
ERS043975,14,6A
ERS044006,14,6A
ERS069922,15,19A
ERS069927,15,19A
ERS069940,15,19A
ERS069966,15,19A
ERS070084,15,19A
ERS070113,15,19A
ERS070124,15,19A
ERS070146,15,19A
ERS044026,15,19A
ERS044068,15,19F
ERS044097,15,19F
ERS044099,15,19F
ERS044148,15,19F
ERS044149,15,19F
ERS044170,15,19F
ERS069953,15,19F
ERS069969,15,19F
ERS043878,15,19F
ERS043904,15,19F
ERS043913,15,19F
ERS043917,15,19F
ERS043949,15,19F
ERS043950,15,19F
ERS044005,15,19F
ERS044012,15,19F
ERS044054,16,3
ERS044056,16,3
